id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,M_score,distance_center_km,R_value,R_score,F_score,Segment
40974160,素坤逸24街豪华公寓/天际泳池/BTS彭蓬站.EM商场/T21商场/四面佛/暹罗百丽宫/火车夜市4+,296659086,Summer,Khlong Toei,13.72739,100.56909,Entire home/apt,2299,2,6,2022-12-16,0.16,22,155,2,4,2.246469004728912,12,1,3,At Risk
40974582,30days!  Sukhumvit NANA spacious 1BR 2PPL near BTS,52161947,Noons,Ratchathewi,13.75029,100.55642,Entire home/apt,1466,3,47,2022-12-10,1.29,99,360,26,3,0.6377886233526686,18,1,5,At Risk
41051440,🔵10min Grand Palace/ 10pax Homey Pinklao/ Khaosan,235444736,Anuttaka,Bang Phlat,13.77646,100.48002,Entire home/apt,2157,1,7,2022-12-06,0.2,3,113,3,4,9.273871678865621,22,1,3,At Risk
40974730,Nana四面佛酒吧街.2 bedroom新都市主义.Near MRT and BTS提供接机服务,219301393,Jack,Ratchathewi,13.74995,100.55587,Entire home/apt,2480,15,2,2020-02-21,0.06,9,91,0,4,0.6436681319138908,1041,5,1,Recent Visitors
41051479,"NEW! Paradiso1B,PoolView, WIFI&Netflix,Monthly中文語",240603715,Sasikarn,Huai Khwang,13.7806,100.58103,Entire home/apt,1253,30,8,2022-07-24,0.27,31,79,3,3,4.515222178782753,157,1,3,At Risk
41051804,6pax VALUE HOUSE♥/10minTemple of Dawn/Grand Palace,235444736,Anuttaka,Bangkok Noi,13.7773,100.47817,Entire home/apt,1600,5,2,2020-01-31,0.06,3,108,0,3,9.49411062038317,1062,5,1,Recent Visitors
40975318,30days! AirportLink Sukhumvit NANA MaxValu 2BR(4P),52161947,Noons,Ratchathewi,13.74923,100.55417,Entire home/apt,2527,3,49,2022-12-12,1.35,99,353,31,4,0.7273494932281329,16,1,5,At Risk
41052326,长租有特惠《梦馨居》Bangkok曼谷辉煌新商业区拉差达火车夜市，亚洲公寓设计大奖，辉煌地铁站代购街,304429745,Tian,Huai Khwang,13.772,100.58413,Entire home/apt,668,30,3,2022-04-24,0.08,3,325,1,1,3.9449566767146607,248,1,2,At Risk
40978075,Studio 30sqm.@ Ekkamai 12 near Thonglor!,318596748,Piyapat,Vadhana,13.74126,100.58627,Entire home/apt,1100,1,2,2020-03-01,0.06,3,87,0,2,2.9103166362648087,1032,5,1,Recent Visitors
41052434,New!  La Chada Night Market studio 2PPL near MRT,314945555,Nana,Huai Khwang,13.7731,100.57886,Entire home/apt,1057,1,9,2020-03-26,0.25,49,0,0,2,3.688619382068275,1007,5,3,New Visitors
